"SiteSubsitePlotYear","SiteSubsitePlot","SR"
"ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2014","ABISKO:ABISKODRY_PADDUS:CTL_5",14
