"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"108","Cerastium alpinum","Cerastium","","alpinum",NA,NA,"","","kew-2709871",TRUE,"1.1","Accepted","Caryophyllaceae","Cerastium","","alpinum","","","L.","kew-2709871","Accepted",FALSE,FALSE,FALSE,2022-02-28
"109","Cerastium cerastoides","Cerastium","","cerastoides",NA,NA,"","","kew-2710156",TRUE,"1.1","Accepted","Caryophyllaceae","Cerastium","","cerastoides","","","(L.) Britton","kew-2710156","Accepted",FALSE,FALSE,FALSE,2022-02-28
"110","Cerastium fontanum","Cerastium","","fontanum",NA,NA,"","","kew-2710319",TRUE,"1.1","Accepted","Caryophyllaceae","Cerastium","","fontanum","","","Baumg.","kew-2710319","Accepted",FALSE,FALSE,FALSE,2022-02-28
"111","Cerastrium alpinum","Cerastrium","","alpinum",NA,NA,"","","kew-2709871",TRUE,"1.1","Accepted","Caryophyllaceae","Cerastium","","alpinum","","","L.","kew-2709871","Accepted",TRUE,FALSE,FALSE,2022-02-28
"112","Chamaedaphne calyculata","Chamaedaphne","","calyculata",NA,NA,"","","kew-2715460",TRUE,"1.1","Accepted","Ericaceae","Chamaedaphne","","calyculata","","","(L.) Moench","kew-2715460","Accepted",FALSE,FALSE,FALSE,2022-02-28
"113","Chenopodium album","Chenopodium","","album",NA,NA,"","","kew-2716945",TRUE,"1.1","Accepted","Amaranthaceae","Chenopodium","","album","","","L.","kew-2716945","Accepted",FALSE,FALSE,FALSE,2022-02-28
"114","Chrysosplenium alternifolium","Chrysosplenium","","alternifolium",NA,NA,"","","kew-2720069",TRUE,"1.1","Accepted","Saxifragaceae","Chrysosplenium","","alternifolium","","","L.","kew-2720069","Accepted",FALSE,FALSE,FALSE,2022-02-28
"115","Cirsium arvense","Cirsium","","arvense",NA,NA,"","","gcc-106632",TRUE,"1.1","Accepted","Compositae","Cirsium","","arvense","","","(L.) Scop.","gcc-106632","Accepted",FALSE,FALSE,FALSE,2022-02-28
"116","Cirsium helenioides","Cirsium","","helenioides",NA,NA,"","","gcc-104894",TRUE,"1.1","Accepted","Compositae","Cirsium","","helenioides","","","(L.) Hill","gcc-104894","Accepted",FALSE,FALSE,FALSE,2022-02-28
"117","Cirsium heterophyllum","Cirsium","","heterophyllum",NA,NA,"","","gcc-11440",TRUE,"1.1","Accepted","Compositae","Cirsium","","heterophyllum","","","(L.) Hill","gcc-11440","Accepted",FALSE,FALSE,FALSE,2022-02-28
