"","nbsp","sing.sp","FRic","qual.FRic","FEve","FDis","RaoQ","Warning","Error"
"600",10,10,26.5151096319735,0.825269783972146,0.526722729539886,1.66009073626183,3.92040542036672,NA,NA
"601",6,6,12.7249991827856,0.937152613309375,0.604822490680351,2.10291998246813,5.70911652351875,NA,NA
"602",8,8,17.6114764144335,0.852992820175216,0.579979467646352,2.58916664476083,7.53964631792251,NA,NA
"603",10,10,28.50372842459,0.805578960011271,0.687432889254404,2.5751588518088,7.8345447677404,NA,NA
"604",8,8,21.1100025117305,0.86426416317659,0.601803754560071,3.17221696986652,10.8324677835988,NA,NA
"605",7,7,18.4574545607422,0.935903627874145,0.790050039525207,2.95644190680788,9.56490715915163,NA,NA
"606",9,9,21.7189696048378,0.827213768301594,0.586118478156272,2.64755098981009,7.90182003095297,NA,NA
"607",6,6,15.5139806647468,0.930059626943792,0.797555591902814,2.28829383331024,5.96669017994285,NA,NA
"608",10,10,24.5041856611405,0.795996482359933,0.770505086454912,1.68753697362919,4.44238824661568,NA,NA
"609",6,6,15.3075952258446,0.950796860913536,0.536619896195974,0.848551384370066,2.19624611803861,NA,NA
"610",8,8,20.277801602054,0.849476121562312,0.679353626024002,1.15217353752,2.71902842214513,NA,NA
"611",4,4,5.10731046271346,1,0.628345537961423,1.36148192770157,3.42626901432075,NA,NA
"612",5,5,12.9603337469019,0.940152174177956,0.621689635300644,1.48550029729723,3.33747450936112,NA,NA
"613",4,4,8.41766957207115,1,0.255716851545908,1.07940779214052,2.55135108539494,NA,NA
"614",3,3,7.61929312984947,NA,0.920695970435192,0.949126168080942,2.17128489923089,NA,NA
"615",5,5,11.7234101133949,0.851710234088463,0.704266683742888,1.17742264633324,2.97232858972241,NA,NA
"616",3,3,6.21305564007977,NA,0.203093610999411,0.993018608545874,2.14048926990821,NA,NA
"617",4,4,7.5491685030758,1,0.549006742248794,0.897506286959016,2.14254665156022,NA,NA
"618",2,2,NA,NA,NA,0.445215380747086,0.944444444444445,NA,NA
"619",3,3,7.57317816845575,NA,0.441663774412947,1.55515861095828,3.73529364442342,NA,NA
"620",3,3,7.46688819388348,NA,0.230689010232807,0.789846658696868,1.88135143378304,NA,NA
"621",4,4,8.76081443642488,1,0.728385442872998,2.08146659278507,5.08817662453476,NA,NA
"622",3,3,6.21305564007977,NA,0.722142854885014,0.713765045182582,1.62442153315863,NA,NA
"623",3,3,7.49522588106943,NA,0.521096643886025,1.69394752879698,4.09291241153448,NA,NA
"624",2,2,NA,NA,NA,1.35764501987817,2.88,NA,NA
"625",4,4,7.26228724064686,1,0.883094072382713,1.93474481221659,4.06696319481267,NA,NA
"626",5,5,8.8453035272601,0.974357385864235,0.199953269642884,1.29635618975277,2.34157215006241,NA,NA
"627",3,3,7.75494580613307,NA,0.798305571807056,2.07116108751802,4.54102384338916,NA,NA
"628",3,3,7.28148095911969,NA,0.116350020650346,0.536817043741736,1.2341686392899,NA,NA
"629",3,3,6.21305564007977,NA,0.156287840997494,0.788264152203632,1.68122288523854,NA,NA
"630",3,3,7.75494580613307,NA,0.978508956241351,0.571193190391478,1.29761971097607,NA,NA
"631",5,5,11.4134900081478,0.951767679061856,0.667324718767846,1.9805702318807,4.92485212011442,NA,NA
"632",5,5,12.3620747576418,0.936870096734286,0.437634790613668,1.26946626941569,3.0883168392306,NA,NA
"633",3,3,7.61929312984948,NA,0.920695970435192,1.29332507108793,2.98781865905906,NA,NA
"634",3,3,7.64266330955333,NA,0.120940960641456,0.435096438110088,1.0207964889232,NA,NA
"635",5,5,10.3328816012499,0.842610141583086,0.780675226225608,2.48778989578379,6.30910932095126,NA,NA
"636",6,6,12.5031649903317,0.819645576731843,0.64825851906256,2.04380980685627,5.13340834097413,NA,NA
"637",5,5,9.60565243253932,0.842965859890141,0.514464130770102,1.9902385613344,4.82776992820208,NA,NA
"638",5,5,11.7619000688871,0.938542410620943,0.577345332848035,1.91585324142058,4.86547344531848,NA,NA
"639",4,4,8.41096702084156,1,0.62472088404075,1.80265922230869,4.24742761678491,NA,NA
"640",3,3,6.71927889762308,NA,0.976929962382819,2.35364734398198,5.67774254456859,NA,NA
"641",5,5,11.8482808818795,0.944734344635247,0.813380162039948,2.56752771145716,6.7488303106571,NA,NA
"642",5,5,12.6019216769848,0.892381058105134,0.67101899693351,2.22138281455941,5.50613402337656,NA,NA
